Time,Profile,PWM,bus1dev1,bus1dev0,bus0dev0,PlateAverage,error,kp,ki,kd
150.682079,100.0,0.596963509836673,62.5,68.25,63.75,64.83333333333333,37.10283333333336,0.015807583549473543,1.0455696909653662e-05,-2.4534215155572726e-06
152.189487,100.0,0.5878497873912093,63.25,69.25,64.75,65.75,36.08433333333334,0.015995126661376965,1.0674605123866405e-05,-2.4825292096205807e-06
153.697624,100.0,0.5792820294065989,64.25,70.25,65.75,66.75,35.132333333333285,0.016178504597684783,1.0891889848755765e-05,-2.5109904461535315e-06
155.202607,100.0,0.5710407815652337,65.25,71.0,66.5,67.58333333333333,34.230833333333365,0.01635753718174459,1.1107036079499362e-05,-2.5387772607759735e-06
156.71096,100.0,0.5622408159369863,66.0,72.0,67.25,68.41666666666667,33.322666666666684,0.01653284663744681,1.1320686583355328e-05,-2.5659862259637392e-06
158.221345,100.0,0.5526124918677987,67.0,73.0,68.25,69.41666666666667,32.39200000000008,0.01670408133121598,1.1532311224274023e-05,-2.5925627663051587e-06
159.72658,100.0,0.5429020965074234,67.75,74.0,69.25,70.33333333333333,31.484500000000093,0.016870513493570282,1.1740863028991673e-05,-2.6183939280841013e-06
161.232787,100.0,0.5334042929204413,68.75,74.75,69.75,71.08333333333333,30.614499999999985,0.01703296221157028,1.194713497831562e-05,-2.643606837993348e-06
162.744862,100.0,0.5232244103654006,69.75,75.75,70.75,72.08333333333333,29.727500000000045,0.017191868599884443,1.2151616180591634e-05,-2.6682699593887986e-06
164.255817,100.0,0.5129193525686893,70.5,76.5,71.75,72.91666666666667,28.85700000000002,0.01734639080836753,1.2353084815270992e-05,-2.6922526326251698e-06
165.767088,100.0,0.5023333224110239,71.25,77.5,72.5,73.75,27.992999999999885,0.017496531909468524,1.2551391805475519e-05,-2.7155553345629854e-06
167.269257,100.0,0.4918106484446757,72.25,78.25,73.25,74.58333333333333,27.154499999999963,0.017642118364720287,1.274616175464691e-05,-2.7381511311039523e-06
168.773209,100.0,0.4802515088588334,73.0,79.25,74.0,75.41666666666667,26.27783333333331,0.017783511746013326,1.2937803638122518e-05,-2.7600961401393895e-06
170.274472,100.0,0.4692562962484025,74.0,80.0,75.0,76.33333333333333,25.452666666666627,0.017920656283504317,1.3126160352869085e-05,-2.7813817058913173e-06
171.780027,100.0,0.4583228943361827,74.5,80.75,75.5,76.91666666666667,24.648499999999967,0.018054224516587114,1.3311954303288529e-05,-2.802112210070822e-06
173.284863,100.0,0.4469145833332363,75.25,81.5,76.5,77.75,23.835333333333388,0.01818386271503297,1.3494637781427932e-05,-2.8222327518544226e-06
